58;Universidad El Bosque;Privada;Ak. 9 #131a-2;Escuela de Medicina y Ciencias de la Salud;Instrumentación Quirúrgica;Presencial;8;155
59;Universidad El Bosque;Privada;Ak. 9 #131a-2;Escuela de Medicina y Ciencias de la Salud;Medicina;Presencial;12;291
60;Universidad El Bosque;Privada;Ak. 9 #131a-2;Escuela de Medicina y Ciencias de la Salud;Odontología;Presencial;10;178
61;Universidad El Bosque;Privada;Ak. 9 #131a-2;Escuela de Medicina y Ciencias de la Salud;Optometría;Presencial;10;180
62;Universidad El Bosque;Privada;Ak. 9 #131a-2;Escuela de Medicina y Ciencias de la Salud;Química Farmacéutica;Presencial;9;158
63;Universidad El Bosque;Privada;Ak. 9 #131a-2;Escuela de Medicina y Ciencias de la Salud;Psicología;Presencial;10;164
64;Universidad El Bosque;Privada;Ak. 9 #131a-2;Escuela de Música;Formación Musical;Presencial;10;170
65;Universidad Militar Nueva Granada;Privada;Cra. 11 #101-80;Escuela de Ciencias Exactas e Ingeniería;Ingeniería Mecatrónica;Presencial;10;175
66;Universidad Militar Nueva Granada;Privada;Cra. 11 #101-80;Escuela de Ciencias Exactas e Ingeniería;Ingeniería Ambiental;Presencial;10;165
67;Universidad Militar Nueva Granada;Privada;Cra. 11 #101-80;Escuela de Ciencias Exactas e Ingeniería;Ingeniería Biomédica;Presencial;10;169
68;Universidad Militar Nueva Granada;Privada;Cra. 11 #101-80;Escuela de Ciencias Exactas e Ingeniería;Ingeniería Civil;Presencial;10;175
69;Universidad Militar Nueva Granada;Privada;Cra. 11 #101-80;Escuela de Ciencias Exactas e Ingeniería;Ingeniería Industrial;Presencial;9;156
70;Universidad Militar Nueva Granada;Privada;Cra. 11 #101-80;Escuela de Ciencias Exactas e Ingeniería;Ingeniería en Multimedia;Presencial;10;157
71;Universidad Militar Nueva Granada;Privada;Cra. 11 #101-80;Escuela de Ciencias Exactas e Ingeniería;Ingeniería en Telecomunicaciones;Presencial;9;159
72;Universidad Militar Nueva Granada;Privada;Cra. 11 #101-80;Escuela de Ciencias Exactas e Ingeniería;Tecnología en Electrónica y Comunicaciones;Presencial;5;100
73;Universidad Militar Nueva Granada;Privada;Cra. 11 #101-80;Escuela de Ciencias Económicas y Administrativas;Administración de Empresas;Presencial;9;158
74;Universidad Militar Nueva Granada;Privada;Cra. 11 #101-80;Escuela de Ciencias Económicas y Administrativas;Contaduría Pública;Presencial;9;155
75;Universidad Militar Nueva Granada;Privada;Cra. 11 #101-80;Escuela de Ciencias Económicas y Administrativas;Economía;Presencial;9;156
76;Universidad Militar Nueva Granada;Privada;Cra. 11 #101-80;Escuela de Ciencias Económicas y Administrativas;Tecnología en Contabilidad Tributaria;Presencial;5;92
77;Universidad Militar Nueva Granada;Privada;Cra. 11 #101-80;Escuela de Ciencias Humanas;Biología Aplicada;Presencial;10;180
78;Universidad Militar Nueva Granada;Privada;Cra. 11 #101-80;Escuela de Ciencias Humanas;Tecnología en Gestión y Produccion Hortícola;Presencial;5;90
79;Universidad Militar Nueva Granada;Privada;Cra. 11 #101-80;Escuela de Ciencias Sociales;Carrera de Derecho ;Presencial;10;170
80;Universidad Militar Nueva Granada;Privada;Cra. 11 #101-80;Escuela de Ciencias Sociales;Tecnología en Investigación Judicial y Criminalística;Presencial;6;-
81;Universidad Militar Nueva Granada;Privada;Cra. 11 #101-80;Escuela de Medicina y Ciencias de la Salud;Administración de Riesgos Seguridad y Salud en el Trabajo;Presencial;8;145
82;Universidad Militar Nueva Granada;Privada;Cra. 11 #101-80;Escuela de Medicina y Ciencias de la Salud;Medicina;Presencial;12;246
83;Universidad Militar Nueva Granada;Privada;Cra. 11 #101-80;Escuela de Medicina y Ciencias de la Salud;Tecnología en Atención Prehospitalaria;Presencial;6;96
